,data3,data2,hour,PM2.5,newi
7058,Wednsday,10-22-2014,1,57,43
7060,Wednsday,10-22-2014,3,107,43
7062,Wednsday,10-22-2014,5,83,43
7064,Wednsday,10-22-2014,7,90,43
7066,Wednsday,10-22-2014,9,66,43
7068,Wednsday,10-22-2014,11,71,43
7070,Wednsday,10-22-2014,13,93,43
7072,Wednsday,10-22-2014,15,87,43
7076,Wednsday,10-22-2014,19,94,43
7078,Wednsday,10-22-2014,21,112,43
7080,Wednsday,10-22-2014,23,115,43
7226,Wednsday,10-29-2014,1,112,44
7228,Wednsday,10-29-2014,3,111,44
7230,Wednsday,10-29-2014,5,100,44
7232,Wednsday,10-29-2014,7,94,44
7234,Wednsday,10-29-2014,9,101,44
7236,Wednsday,10-29-2014,11,103,44
7238,Wednsday,10-29-2014,13,108,44
7240,Wednsday,10-29-2014,15,108,44
7242,Wednsday,10-29-2014,17,134,44
7244,Wednsday,10-29-2014,19,140,44
7246,Wednsday,10-29-2014,21,155,44
7248,Wednsday,10-29-2014,23,161,44
7394,Wednsday,11-5-2014,1,207,45
7396,Wednsday,11-5-2014,3,167,45
7398,Wednsday,11-5-2014,5,140,45
7400,Wednsday,11-5-2014,7,63,45
7402,Wednsday,11-5-2014,9,71,45
7404,Wednsday,11-5-2014,11,24,45
7406,Wednsday,11-5-2014,13,6,45
7408,Wednsday,11-5-2014,15,9,45
7410,Wednsday,11-5-2014,17,7,45
7412,Wednsday,11-5-2014,19,7,45
7414,Wednsday,11-5-2014,21,6,45
7416,Wednsday,11-5-2014,23,7,45
7562,Wednsday,11-12-2014,1,5,46
7564,Wednsday,11-12-2014,3,4,46
7566,Wednsday,11-12-2014,5,3,46
7568,Wednsday,11-12-2014,7,3,46
7570,Wednsday,11-12-2014,9,6,46
7572,Wednsday,11-12-2014,11,3,46
7574,Wednsday,11-12-2014,13,9,46
7576,Wednsday,11-12-2014,15,4,46
7578,Wednsday,11-12-2014,17,3,46
7580,Wednsday,11-12-2014,19,5,46
7582,Wednsday,11-12-2014,21,6,46
7584,Wednsday,11-12-2014,23,8,46
7730,Wednsday,11-19-2014,1,248,47
7732,Wednsday,11-19-2014,3,211,47
7734,Wednsday,11-19-2014,5,183,47
7736,Wednsday,11-19-2014,7,118,47
7738,Wednsday,11-19-2014,9,178,47
7740,Wednsday,11-19-2014,11,240,47
7742,Wednsday,11-19-2014,13,275,47
7744,Wednsday,11-19-2014,15,316,47
7746,Wednsday,11-19-2014,17,354,47
7748,Wednsday,11-19-2014,19,337,47
7750,Wednsday,11-19-2014,21,354,47
